('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 netrc.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1234(CookieJar)
        2    0.000    0.000    0.001    0.000 _htmlparser.py:193(handle_charref)
        2    0.000    0.000    0.001    0.000 queue.py:1(<module>)
     2017    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
        5    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
     1993    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        9    0.000    0.000    0.001    0.000 enum.py:793(_missing_)
      146    0.000    0.000    0.001    0.000 util.py:16(lower)
     1409    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:3(<module>)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        9    0.000    0.000    0.001    0.000 enum.py:800(_create_pseudo_member_)
     1118    0.000    0.000    0.001    0.000 element.py:1371(get)
        1    0.000    0.000    0.001    0.001 escprober.py:28(<module>)
      137    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       14    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
     1591    0.001    0.000    0.001    0.000 element.py:1797(descendants)
      265    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.001    0.001 request.py:2612(getproxies)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      376    0.000    0.000    0.001    0.000 typing.py:704(__setattr__)
      175    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      128    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
        1    0.000    0.000    0.001    0.001 request.py:940(AbstractBasicAuthHandler)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        9    0.000    0.000    0.001    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.001    0.001 status_codes.py:21(<module>)
  197/162    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      546    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      463    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
