('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 enum.py:855(_high_bit)
       28    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       26    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       25    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       25    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       24    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
       24    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       23    0.068    0.003    0.068    0.003 {built-in method _imp.create_dynamic}
    23/21    0.004    0.000    0.016    0.001 {built-in method _imp.exec_dynamic}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       23    0.000    0.000    0.068    0.003 <frozen importlib._bootstrap_external>:1040(create_module)
    23/21    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       23    0.000    0.000    0.000    0.000 enum.py:901(<lambda>)
       23    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
       23    0.000    0.000    0.000    0.000 threading.py:335(notify)
       23    0.000    0.000    0.000    0.000 queue.py:14(_qsize)
       22    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
       21    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       21    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       21    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       21    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       21    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
